id,bits,L,zero_run,sym,T,method,trials,errors,error_rate,decimal_value,note
poly12,1011011111111011011001001110100110001010,40,3,1,1,rule_int,100,0,0.0000,790196709770,
poly12,1011011111111011011001001110100110001010,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly13,10010110,8,2,1,1,rule_int,100,0,0.0000,150,
poly13,10010110,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly14,100001001111110111000001,24,5,1,1,rule_int,100,0,0.0000,8715713,
poly14,100001001111110111000001,24,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly15,1100110101101010,16,2,1,1,rule_int,100,0,0.0000,52586,
poly15,1100110101101010,16,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly16,1101110001010010,16,3,1,1,rule_int,100,0,0.0000,56402,
poly16,1101110001010010,16,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly17,0110011100011000,16,3,1,1,rule_int,100,0,0.0000,26392,
poly17,0110011100011000,16,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly18,110111011100001111011011,24,4,1,1,rule_int,100,0,0.0000,14533595,
poly18,110111011100001111011011,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly19,00100111,8,2,1,1,rule_int,100,0,0.0000,39,
poly19,00100111,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly20,00011011,8,3,1,1,rule_int,100,0,0.0000,27,
poly20,00011011,8,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly21,010000010100001110001100,24,5,1,1,rule_int,100,0,0.0000,4277132,
poly21,010000010100001110001100,24,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly22,0111100000110010111101111111111111000100,40,5,1,1,rule_int,100,0,0.0000,516251189188,
poly22,0111100000110010111101111111111111000100,40,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly23,11100101100010101011000100010011,32,3,1,1,rule_int,100,0,0.0000,3851071763,
poly23,11100101100010101011000100010011,32,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly24,101100011011101000111111,24,3,1,1,rule_int,100,0,0.0000,11647551,
poly24,101100011011101000111111,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly25,10010000,8,4,1,1,rule_int,100,0,0.0000,144,
poly25,10010000,8,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly26,010110001110001100000001,24,7,1,1,rule_int,100,0,0.0000,5825281,
poly26,010110001110001100000001,24,7,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly27,11011000010010011001110101100110,32,4,1,1,rule_int,100,0,0.0000,3628703078,
poly27,11011000010010011001110101100110,32,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly28,01100010001000010011110010010111,32,4,1,1,rule_int,100,0,0.0000,1646345367,
poly28,01100010001000010011110010010111,32,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly29,0011001011011010000110001001101101100010,40,4,1,1,rule_int,100,0,0.0000,218407410530,
poly29,0011001011011010000110001001101101100010,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly30,0110001100001110111110001001100101110010,40,4,1,1,rule_int,100,0,0.0000,425452935538,
poly30,0110001100001110111110001001100101110010,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly31,0111000101010001001101001001111101100001,40,4,1,1,rule_int,100,0,0.0000,486693707617,
poly31,0111000101010001001101001001111101100001,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly32,0011100011000001,16,5,1,1,rule_int,100,0,0.0000,14529,
poly32,0011100011000001,16,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly33,0001111000110010100110011101110001010010,40,3,1,1,rule_int,100,0,0.0000,129697963090,
poly33,0001111000110010100110011101110001010010,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly34,00101111010101111110001010100011,32,3,1,1,rule_int,100,0,0.0000,794288803,
poly34,00101111010101111110001010100011,32,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly35,01101000101110000010011000100000,32,5,1,1,rule_int,100,0,0.0000,1756898848,
poly35,01101000101110000010011000100000,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly36,01100111,8,2,1,1,rule_int,100,0,0.0000,103,
poly36,01100111,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly37,11100000,8,5,1,1,rule_int,100,0,0.0000,224,
poly37,11100000,8,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly38,10100001101001010100010001001011,32,4,1,1,rule_int,100,0,0.0000,2711962699,
poly38,10100001101001010100010001001011,32,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly39,110111011000011000011100,24,4,1,1,rule_int,100,0,0.0000,14517788,
poly39,110111011000011000011100,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly40,01101101111101101101101111100101,32,2,1,1,rule_int,100,0,0.0000,1844894693,
poly40,01101101111101101101101111100101,32,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly41,100000101001010011100111,24,5,1,1,rule_int,100,0,0.0000,8557799,
poly41,100000101001010011100111,24,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly42,1111000011001101100111100111101011010000,40,4,1,1,rule_int,100,0,0.0000,1034241866448,
poly42,1111000011001101100111100111101011010000,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly43,00010011110010100011010110111011,32,3,1,1,rule_int,100,0,0.0000,332019131,
poly43,00010011110010100011010110111011,32,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly44,0101101111101110,16,1,1,1,rule_int,100,0,0.0000,23534,
poly44,0101101111101110,16,1,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly45,11111000001001101011111001010110,32,5,1,1,rule_int,100,0,0.0000,4163288662,
poly45,11111000001001101011111001010110,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly46,010110011001110011110001,24,3,1,1,rule_int,100,0,0.0000,5872881,
poly46,010110011001110011110001,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly47,1101001110001111,16,3,1,1,rule_int,100,0,0.0000,54159,
poly47,1101001110001111,16,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly48,1001001011001001,16,2,1,1,rule_int,100,0,0.0000,37577,
poly48,1001001011001001,16,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly49,11000000,8,6,1,1,rule_int,100,0,0.0000,192,
poly49,11000000,8,6,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly50,1110010100111100,16,2,1,1,rule_int,100,0,0.0000,58684,
poly50,1110010100111100,16,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly51,1011010010101000001110110011110100110010,40,5,1,1,rule_int,100,0,0.0000,775916567858,
poly51,1011010010101000001110110011110100110010,40,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly52,001010011011010011110000,24,4,1,1,rule_int,100,0,0.0000,2733296,
poly52,001010011011010011110000,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly53,000110100011101011000010,24,4,1,1,rule_int,100,0,0.0000,1718978,
poly53,000110100011101011000010,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly54,10111001100101010011010001000001,32,5,1,1,rule_int,100,0,0.0000,3113563201,
poly54,10111001100101010011010001000001,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly55,0110011010010101011010110111101111000000,40,6,1,1,rule_int,100,0,0.0000,440593513408,
poly55,0110011010010101011010110111101111000000,40,6,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly56,1101100001011101,16,4,1,1,rule_int,100,0,0.0000,55389,
poly56,1101100001011101,16,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly57,1000111001000011,16,4,1,1,rule_int,100,0,0.0000,36419,
poly57,1000111001000011,16,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly58,101100100111000011010000,24,4,1,1,rule_int,100,0,0.0000,11694288,
poly58,101100100111000011010000,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly59,1101011100000001,16,7,1,1,rule_int,100,0,0.0000,55041,
poly59,1101011100000001,16,7,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly60,11110010001001111010111101000000,32,6,1,1,rule_int,100,0,0.0000,4062687040,
poly60,11110010001001111010111101000000,32,6,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly61,10111011,8,1,1,1,rule_int,100,0,0.0000,187,
poly61,10111011,8,1,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly62,1010000100110111,16,4,1,1,rule_int,100,0,0.0000,41271,
poly62,1010000100110111,16,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly63,1110011101101000111100011101011010110111,40,3,1,1,rule_int,100,0,0.0000,993898124983,
poly63,1110011101101000111100011101011010110111,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly64,00111011,8,2,1,1,rule_int,100,0,0.0000,59,
poly64,00111011,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly65,01111001001110110110110110111110,32,2,1,1,rule_int,100,0,0.0000,2033937854,
poly65,01111001001110110110110110111110,32,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly66,001111100110011011000011,24,4,1,1,rule_int,100,0,0.0000,4089539,
poly66,001111100110011011000011,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly67,01010001,8,3,1,1,rule_int,100,0,0.0000,81,
poly67,01010001,8,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly68,000010010010100010010001,24,4,1,1,rule_int,100,0,0.0000,600209,
poly68,000010010010100010010001,24,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly69,0111010000011000,16,5,1,1,rule_int,100,0,0.0000,29720,
poly69,0111010000011000,16,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly70,11010110,8,1,1,1,rule_int,100,0,0.0000,214,
poly70,11010110,8,1,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly71,1101100011110011101110111001001101010001,40,3,1,1,rule_int,100,0,0.0000,931802092369,
poly71,1101100011110011101110111001001101010001,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly72,1001100110001101,16,3,1,1,rule_int,100,0,0.0000,39309,
poly72,1001100110001101,16,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly73,10100000111000010001001010110010,32,5,1,1,rule_int,100,0,0.0000,2699104946,
poly73,10100000111000010001001010110010,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly74,11101010101111100110111111011100,32,2,1,1,rule_int,100,0,0.0000,3938349020,
poly74,11101010101111100110111111011100,32,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly75,00110000,8,4,1,1,rule_int,100,0,0.0000,48,
poly75,00110000,8,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly76,011000110110000010111000,24,5,1,1,rule_int,100,0,0.0000,6512824,
poly76,011000110110000010111000,24,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly77,0111110100010000,16,4,1,1,rule_int,100,0,0.0000,32016,
poly77,0111110100010000,16,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly78,1001111000110100110010101100110001101010,40,3,1,1,rule_int,100,0,0.0000,679490538602,
poly78,1001111000110100110010101100110001101010,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly79,0100111010001101001110100101100101101101,40,3,1,1,rule_int,100,0,0.0000,337376860525,
poly79,0100111010001101001110100101100101101101,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly80,1110000101111111,16,4,1,1,rule_int,100,0,0.0000,57727,
poly80,1110000101111111,16,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly81,001011100101011000100011,24,3,1,1,rule_int,100,0,0.0000,3036707,
poly81,001011100101011000100011,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly82,11101110010111100000111001011110,32,5,1,1,rule_int,100,0,0.0000,3999141470,
poly82,11101110010111100000111001011110,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly83,00010111111000000011001111010010,32,7,1,1,rule_int,100,0,0.0000,400569298,
poly83,00010111111000000011001111010010,32,7,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly84,00110111000110111100110011001101,32,3,1,1,rule_int,100,0,0.0000,924568781,
poly84,00110111000110111100110011001101,32,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly85,0100000001011011,16,7,1,1,rule_int,100,0,0.0000,16475,
poly85,0100000001011011,16,7,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly86,00111100,8,2,1,1,rule_int,100,0,0.0000,60,
poly86,00111100,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly87,1100010001010110110011000011100110100101,40,4,1,1,rule_int,100,0,0.0000,843269814693,
poly87,1100010001010110110011000011100110100101,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly88,01011111011001011100111110101010,32,2,1,1,rule_int,100,0,0.0000,1600507818,
poly88,01011111011001011100111110101010,32,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly89,11001001101010010110010011110010,32,2,1,1,rule_int,100,0,0.0000,3383321842,
poly89,11001001101010010110010011110010,32,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly90,011010110011100010101000,24,3,1,1,rule_int,100,0,0.0000,7026856,
poly90,011010110011100010101000,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly91,11111000,8,3,1,1,rule_int,100,0,0.0000,248,
poly91,11111000,8,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly92,1111110010001100010001101011110010100000,40,5,1,1,rule_int,100,0,0.0000,1084685204640,
poly92,1111110010001100010001101011110010100000,40,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly93,0111100011011010100100011011100011110011,40,3,1,1,rule_int,100,0,0.0000,519063058675,
poly93,0111100011011010100100011011100011110011,40,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly94,00010011010001010011010000010011,32,5,1,1,rule_int,100,0,0.0000,323302419,
poly94,00010011010001010011010000010011,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly95,1111000011100100001101100011000011110100,40,4,1,1,rule_int,100,0,0.0000,1034620907764,
poly95,1111000011100100001101100011000011110100,40,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly96,0111100111111100,16,2,1,1,rule_int,100,0,0.0000,31228,
poly96,0111100111111100,16,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly97,10111100101110101001011000101010,32,3,1,1,rule_int,100,0,0.0000,3166344746,
poly97,10111100101110101001011000101010,32,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly98,001100011111100011111101,24,3,1,1,rule_int,100,0,0.0000,3275005,
poly98,001100011111100011111101,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly99,00110100,8,2,1,1,rule_int,100,0,0.0000,52,
poly99,00110100,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
